E,A
7.583618E-02,-5.136108E-08
7.339478E-02,-2.148438E-08
7.095337E-02,-4.586792E-08
6.851196E-02,-3.109741E-08
6.607056E-02,-4.360962E-08
6.362915E-02,-3.723144E-08
6.118774E-02,-3.839111E-08
5.874634E-02,-5.615234E-08
5.630493E-02,-3.088379E-08
5.386353E-02,-6.19812E-08
5.142212E-02,-3.61023E-08
4.898071E-02,-5.773926E-08
4.653931E-02,-4.623413E-08
.0440979,-5.471802E-08
4.165649E-02,-5.670166E-08
3.921509E-02,-4.690552E-08
3.677368E-02,-7.284546E-08
3.433228E-02,-4.354859E-08
3.189087E-02,-7.247925E-08
2.944946E-02,-5.267334E-08
2.700806E-02,-6.842041E-08
2.456665E-02,-6.417847E-08
2.212524E-02,-6.460571E-08
1.968384E-02,-7.806396E-08
1.724243E-02,-5.886841E-08
1.480103E-02,-8.984375E-08
1.235962E-02,-6.155395E-08
9.918213E-03,-8.679199E-08
7.476807E-03,-7.058716E-08
.0050354,-8.761597E-08
2.593994E-03,-8.602905E-08
1.525879E-04,-8.187866E-08
-2.288818E-03,-9.707642E-08
-4.730225E-03,-7.632446E-08
-7.171631E-03,-1.054382E-07
-9.613037E-03,-8.282471E-08
-1.205444E-02,-1.028748E-07
-1.449585E-02,-9.326172E-08
-1.693726E-02,-1.019592E-07
-1.937866E-02,-1.060181E-07
-2.182007E-02,-9.304809E-08
-2.426147E-02,-1.17096E-07
-2.670288E-02,-9.469605E-08
-2.914429E-02,-1.248474E-07
-3.158569E-02,-1.013489E-07
-.0340271,-1.233215E-07
-3.646851E-02,-1.18866E-07
-3.890991E-02,-1.199646E-07
-4.135132E-02,-1.352234E-07
-4.379272E-02,-1.14563E-07
-4.623413E-02,-1.481018E-07
-4.867554E-02,-1.199036E-07
-5.111694E-02,-1.488037E-07
-5.355835E-02,-1.340942E-07
-5.599976E-02,-1.493225E-07
-5.844116E-02,-1.488953E-07
-6.088257E-02,-1.492615E-07
-6.332397E-02,-1.673584E-07
-6.576538E-02,-1.440124E-07
-6.820679E-02,-1.784668E-07
-7.064819E-02,-1.539307E-07
-.0730896,-1.790161E-07
-7.553101E-02,-1.715088E-07
-7.797241E-02,-1.82251E-07
-8.041382E-02,-1.860046E-07
-8.285522E-02,-1.841736E-07
-8.529663E-02,-2.058716E-07
-8.773804E-02,-1.804504E-07
-9.017944E-02,-2.134399E-07
-9.262085E-02,-1.96106E-07
-9.506226E-02,-2.139893E-07
-9.750366E-02,-2.125549E-07
-9.994507E-02,-2.19574E-07
-.1023865,-2.316895E-07
-.1048279,-2.201843E-07
-.1072693,-2.524109E-07
-.1097107,-2.296448E-07
-.1121521,-2.622375E-07
-.1145935,-2.475586E-07
-.1170349,-2.691345E-07
-.1194763,-2.729797E-07
-.1219177,-2.736511E-07
-.1243591,-2.952576E-07
-.1268005,-2.775574E-07
-.1292419,-3.153381E-07
-.1316833,-2.523804E-07
-.1341248,-2.777405E-07
-.1365662,-2.708435E-07
-.1390076,-2.902222E-07
-.141449,-2.95166E-07
-.1438904,-2.957153E-07
-.1463318,-3.215637E-07
-.1487732,-3.04718E-07
-.1512146,-3.4198E-07
-.153656,-3.251038E-07
-.1560974,-3.544922E-07
-.1585388,-3.53302E-07
-.1609802,-3.674317E-07
-.1634216,-3.820801E-07
-.165863,-3.790283E-07
-.1683044,-4.18396E-07
-.1707458,-4.003906E-07
-.1731873,-4.495239E-07
-.1756287,-4.342651E-07
-.1780701,-4.699707E-07
-.1805115,-4.779052E-07
-.1829529,-4.885864E-07
-.1853943,-5.163574E-07
-.1878357,-5.044556E-07
-.1902771,-5.514526E-07
-.1927185,-5.413818E-07
-.1951599,-5.804444E-07
-.1976013,-5.834961E-07
